epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6595,3.84933,5.19296,1.8671,0.02492,0.18454,0.01632,0.01523,0.66184,inf,1.16568,3.33e-05,3.33e-05,3.33e-05
2,88.9103,3.13295,4.93353,1.66479,0.04241,0.35814,0.05025,0.02731,1.24685,inf,1.19753,6.92377e-05,6.92377e-05,6.92377e-05
3,130.812,1.35381,3.48611,1.1748,0.16633,0.54461,0.22771,0.22236,1.19035,inf,1.20405,0.00010445,0.00010445,0.00010445
4,175.886,1.03683,2.68616,1.10675,0.41514,0.25112,0.20807,0.19582,1.57039,inf,1.33491,0.000138937,0.000138937,0.000138937
5,221.815,0.8554,2.10618,1.06536,0.42768,0.34828,0.33889,0.32805,1.31098,inf,1.26612,0.000172699,0.000172699,0.000172699
6,268.311,0.75936,1.75188,1.04529,0.34774,0.51339,0.37354,0.36747,1.51517,inf,1.30196,0.000205736,0.000205736,0.000205736
7,314.952,0.70931,1.54596,1.04129,0.5337,0.60719,0.58807,0.58626,1.15363,inf,1.2143,0.000238047,0.000238047,0.000238047
8,361.453,0.68852,1.42049,1.04075,0.64884,0.55637,0.62938,0.62533,0.832,inf,1.1668,0.000269633,0.000269633,0.000269633
9,406.162,0.65621,1.3048,1.04201,0.688,0.6424,0.72726,0.69758,0.64093,inf,1.15999,0.000300494,0.000300494,0.000300494
10,450.237,0.63009,1.21416,1.04304,0.63994,0.60416,0.6713,0.63102,0.67751,inf,1.17107,0.00030333,0.00030333,0.00030333
11,494.544,0.59649,1.13144,1.0412,0.66805,0.60853,0.67622,0.59724,0.67967,inf,1.18094,0.000300033,0.000300033,0.000300033
12,537.501,0.59662,1.09057,1.04046,0.6472,0.67875,0.71839,0.59781,0.7608,inf,1.20451,0.000296736,0.000296736,0.000296736
